team,market_index,avg_wins,base_win_value,marginal_playoff_prob,playoff_option_value,rational_win_value,rational_win_index,gamma_mean,efficiency_mean,implied_win_value,implied_win_index
ARI,0.9588026380751945,78.70588235294117,1438203.9571127917,0.0019773126765834067,59319.3802975022,1497523.337410294,0.6385936047657189,-0.0780512170488421,1.0853255381068911,1849834.107616968,0.8884708720172867
BAL,0.9577567553790914,75.11764705882354,1436635.1330686372,0.0002719683249987261,8159.049749961783,1444794.182818599,0.616108144896232,0.0589045071588287,0.9469336559998331,2121347.89826993,1.0188782925275082
MIN,0.910784142905641,80.23529411764706,1366176.2143584616,0.004574053087996967,137221.592639909,1503397.8069983707,0.6410986733790895,-0.1359026298122551,1.150078050640298,1745855.250955082,0.8385300772890736
CIN,0.8835412655410994,77.41176470588235,1325311.898311649,0.000968219495845835,29046.58487537505,1354358.483187024,0.5775433639779535,-0.1785055027289627,1.2010245521299658,1673038.9074498033,0.8035565626669497
TOR,0.8765979224036875,81.3529411764706,1314896.8836055312,0.00838130221333201,251439.0663999603,1566335.9500054915,0.6679375844104746,-0.0004019650969534,1.0049958044304104,1999196.2313603852,0.9602091407529747
CHW,0.8420294058054971,82.29411764705883,1263044.1087082457,0.013832790887622636,414983.7266286791,1678027.8353369248,0.71556670770696,0.0888642916699059,0.9191240627296746,2185864.6524816873,1.0498655343770427
CLE,0.8116645875376314,81.47058823529412,1217496.881306447,0.008927894120789046,267836.8236236714,1485333.7049301185,0.633395541301983,-0.2208111215934107,1.2522259910363611,1603736.2431216945,0.7702706597012847
PIT,0.7895170250605705,73.3529411764706,1184275.5375908557,0.00010226951596788241,3068.0854790364724,1187343.6230698922,0.5063226898774201,-0.3695466749502937,1.453326214753069,1382095.0575940935,0.6638169314616559
WSN,0.7576778656628127,77.52941176470588,1136516.798494219,0.001033254463581957,30997.633907458712,1167514.4324016778,0.4978668654958784,-0.0985355446091131,1.108391703671505,1812326.9656300852,0.8704562819463472
OAK,0.7453928806086548,85.88235294117646,1118089.3209129823,0.07498846247374544,2249653.8742123633,3367743.1951253456,1.4361173633657265,-0.4068695977766738,1.5081206318793663,1331461.99488736,0.6394979932440498
KCR,0.7111699220801404,72.52941176470588,1066754.8831202106,6.478191637607759e-05,1943.4574912823277,1068698.340611493,0.45572840749075605,-0.1132157629870949,1.1255367201369515,1785915.9440997741,0.8577711318384101
MIA,0.6120002955636585,77.70588235294117,918000.4433454878,0.0011390542938095169,34171.628814285505,952172.0721597733,0.40603774293712996,-0.4543652868960913,1.5809970237599689,1269701.576422719,0.6098346128233478
TBR,0.5802030539664416,75.76470588235294,870304.5809496624,0.00038920795611576363,11676.23868347291,881980.8196331352,0.3761058655137561,-0.3592789101958195,1.438828116795375,1396359.1895710828,0.6706679597371004
